CSE,owner,35,california
G_user_268,user,45,MA
Y_user_269,user,54,AR
C_user_270,user,99,MA
A_user_271,user,92,WI
R_user_272,user,40,SO
O_user_273,user,62,FL
J_user_274,user,35,SO
F_user_275,user,71,WE
D_user_276,user,25,WY
Y_user_277,user,86,OK
Y_user_278,user,76,CO
J_user_279,user,44,MA
T_user_280,user,35,LO
C_user_281,user,51,TE
Y_user_282,user,16,DE
Z_user_283,user,22,LO
O_user_284,user,31,SO
I_user_285,user,59,MI
Z_user_286,user,58,MA
V_user_287,user,96,NE
S_user_288,user,32,MA
Q_user_289,user,60,MA
A_user_290,user,52,NE
I_user_291,user,54,SO
J_user_292,user,70,MI
K_user_293,user,27,KE
J_user_294,user,36,ID
O_user_295,user,46,NE
A_user_296,user,53,VE
Q_user_297,user,41,LO
S_user_298,user,42,IL
Q_user_299,user,93,NO
A_user_300,user,56,NE
Y_user_301,user,16,NE
W_user_302,user,31,AR
B_user_303,user,87,IO
M_user_304,user,64,WY
T_user_305,user,52,ID
E_user_306,user,44,IL
L_user_307,user,62,OK
K_user_308,user,27,VE
Z_user_309,user,38,NE
O_user_310,user,53,VE
Z_user_311,user,67,LO
R_user_312,user,67,GE
Q_user_313,user,82,UT
H_user_314,user,98,WA
Y_user_315,user,65,MA
W_user_316,user,36,WI
Y_user_317,user,96,HA
A_user_318,user,97,VI
Z_user_319,user,70,CA
X_user_320,user,89,NE
S_user_321,user,56,MA
V_user_322,user,82,AR
M_user_323,user,93,KE
E_user_324,user,21,NE
O_user_325,user,87,NE
V_user_326,user,64,AL
B_user_327,user,23,MA
F_user_328,user,33,AL
H_user_329,user,63,VI
Q_user_330,user,48,FL
C_user_331,user,39,KA
X_user_332,user,31,CO
F_user_333,user,20,WY
J_user_334,user,80,OH
V_user_335,user,68,AR
S_user_336,user,49,CA
R_user_337,user,89,VI
C_user_338,user,22,NE
K_user_339,user,89,NE
M_user_340,user,70,SO
T_user_341,user,81,IO
T_user_342,user,51,AR
K_user_343,user,55,WE
L_user_344,user,51,LO
J_user_345,user,26,UT
D_user_346,user,67,CO
T_user_347,user,44,IO
T_user_348,user,35,RH
M_user_349,user,68,MI
Y_user_350,user,76,FL
F_user_351,user,53,PE
U_user_352,user,43,IN
F_user_353,user,72,MI
V_user_354,user,63,MI
V_user_355,user,70,OH
C_user_356,user,59,WY
N_user_357,user,13,OH
T_user_358,user,22,IO
B_user_359,user,90,NE
M_user_360,user,13,TE
F_user_361,user,60,NE
I_user_362,user,20,VI
J_user_363,user,94,CO
X_user_364,user,52,AR
Q_user_365,user,28,MI
T_user_366,user,75,LO
G_user_367,user,55,WY
M_user_368,user,97,UT
Y_user_369,user,72,NE
V_user_370,user,13,WA
G_user_371,user,52,OK
E_user_372,user,47,MA
W_user_373,user,12,ID
C_user_374,user,65,AR
D_user_375,user,45,IO
U_user_376,user,89,MI
U_user_377,user,39,KE
T_user_378,user,73,OR
Q_user_379,user,74,HA
B_user_380,user,37,SO
W_user_381,user,83,MA
R_user_382,user,53,UT
B_user_383,user,96,SO
S_user_384,user,64,MI
Z_user_385,user,81,WI
P_user_386,user,47,WI
P_user_387,user,14,WY
V_user_388,user,30,MA
C_user_389,user,16,WE
Y_user_390,user,99,WY
P_user_391,user,86,WA
M_user_392,user,76,WE
N_user_393,user,37,HA
O_user_394,user,90,UT
N_user_395,user,86,TE
O_user_396,user,43,IN
V_user_397,user,68,FL
S_user_398,user,51,NE
Q_user_399,user,61,VE
W_user_400,user,51,OR
B_user_401,user,45,MO
O_user_402,user,37,NO
I_user_403,user,27,NE
Y_user_404,user,58,MA
A_user_405,user,83,KA
Y_user_406,user,20,NE
E_user_407,user,65,TE
G_user_408,user,80,NO
L_user_409,user,94,MI
W_user_410,user,14,WY
Z_user_411,user,79,NE
T_user_412,user,73,AL
V_user_413,user,73,NE
J_user_414,user,42,AL
A_user_415,user,28,NE
Q_user_416,user,14,MI
A_user_417,user,14,TE
L_user_418,user,70,AL
P_user_419,user,23,AL
F_user_420,user,72,KE
L_user_421,user,22,MI
S_user_422,user,51,SO
Y_user_423,user,53,IO
A_user_424,user,57,MI
H_user_425,user,13,CO
X_user_426,user,78,WY
G_user_427,user,27,OK
N_user_428,user,42,NE
P_user_429,user,50,VI
R_user_430,user,28,VI
E_user_431,user,50,MI
P_user_432,user,99,SO
E_user_433,user,85,AL
X_user_434,user,82,AL
Z_user_435,user,58,SO
C_user_436,user,43,VI
P_user_437,user,26,VE
F_user_438,user,79,NE
B_user_439,user,54,AR
Q_user_440,user,68,GE
K_user_441,user,66,KA
X_user_442,user,80,OK
N_user_443,user,79,CO
L_user_444,user,89,WE
B_user_445,user,41,MA
Y_user_446,user,63,CO
F_user_447,user,92,IO
G_user_448,user,79,SO
J_user_449,user,43,NO
H_user_450,user,40,IO
M_user_451,user,47,KE
G_user_452,user,70,SO
R_user_453,user,49,NO
Z_user_454,user,41,SO
D_user_455,user,51,NE
F_user_456,user,19,OR
W_user_457,user,40,AL
B_user_458,user,76,MA
J_user_459,user,49,WE
I_user_460,user,91,NO
K_user_461,user,32,NE
I_user_462,user,67,TE
N_user_463,user,81,LO
G_user_464,user,85,MI
C_user_465,user,18,MI
A_user_466,user,47,IO
D_user_467,user,85,MO
B_user_468,user,85,OK
D_user_469,user,44,NO
K_user_470,user,23,CO
B_user_471,user,25,AR
H_user_472,user,81,MI
O_user_473,user,31,AL
A_user_474,user,57,CA
O_user_475,user,14,WY
U_user_476,user,98,VI
J_user_477,user,65,AL
J_user_478,user,47,GE
U_user_479,user,85,TE
H_user_480,user,49,NE
D_user_481,user,36,CA
A_user_482,user,80,IL
U_user_483,user,56,RH
V_user_484,user,27,UT
I_user_485,user,93,NE
K_user_486,user,25,FL
B_user_487,user,61,MI
P_user_488,user,35,AR
U_user_489,user,34,LO
W_user_490,user,79,KA
T_user_491,user,91,TE
G_user_492,user,50,TE
F_user_493,user,91,MI
J_user_494,user,43,NO
V_user_495,user,15,MA
G_user_496,user,62,GE
I_user_497,user,18,NE
K_user_498,user,42,VI
M_user_499,user,96,MA
V_user_500,user,92,OK
N_user_501,user,30,LO
E_user_502,user,94,NE
O_user_503,user,61,DE
M_user_504,user,51,RH
O_user_505,user,26,MA
D_user_506,user,70,TE
T_user_507,user,40,TE
H_user_508,user,79,OH
Q_user_509,user,51,NO
S_user_510,user,38,WE
J_user_511,user,99,WI
R_user_512,user,79,OK
R_user_513,user,46,FL
E_user_514,user,60,OH
O_user_515,user,88,OK
I_user_516,user,68,NE
Y_user_517,user,48,NE
F_user_518,user,71,MA
P_user_519,user,14,AR
N_user_520,user,22,KA
K_user_521,user,40,OK
G_user_522,user,45,TE
J_user_523,user,71,HA
W_user_524,user,12,MI
M_user_525,user,71,NE
L_user_526,user,88,NO
S_user_527,user,87,TE
A_user_528,user,40,CO
B_user_529,user,17,TE
R_user_530,user,13,VE
H_user_531,user,55,OH
L_user_532,user,61,RH
J_user_533,user,76,IO
E_user_534,user,75,DE
V_user_535,user,30,CA
E_user_536,user,95,IO
P_user_537,user,14,ID
E_user_538,user,43,MO
L_user_539,user,65,GE
Y_user_540,user,85,MA
G_user_541,user,51,OH
V_user_542,user,25,UT
Y_user_543,user,57,PE
M_user_544,user,93,DE
V_user_545,user,84,UT
T_user_546,user,38,DE
X_user_547,user,90,OR
F_user_548,user,13,VE
C_user_549,user,76,VI
K_user_550,user,96,MI
B_user_551,user,27,SO
O_user_552,user,89,WE
H_user_553,user,45,TE
Z_user_554,user,24,KA
D_user_555,user,80,VI
G_user_556,user,45,SO
T_user_557,user,16,OK
H_user_558,user,31,CO
X_user_559,user,54,NE
O_user_560,user,25,NE
Q_user_561,user,25,AL
N_user_562,user,38,CA
H_user_563,user,94,WA
M_user_564,user,60,WI
Q_user_565,user,90,KE
T_user_566,user,79,VE
T_user_567,user,50,ID
B_user_568,user,96,MA
Z_user_569,user,63,MI
Q_user_570,user,52,GE
O_user_571,user,37,VI
R_user_572,user,64,OR
C_user_573,user,79,NE
B_user_574,user,19,IL
I_user_575,user,99,AL
N_user_576,user,32,AL
M_user_577,user,74,KE
S_user_578,user,51,UT
N_user_579,user,73,MI
I_user_580,user,25,DE
S_user_581,user,78,OK
X_user_582,user,96,HA
Z_user_583,user,96,OH
T_user_584,user,15,MI
I_user_585,user,45,OR
Y_user_586,user,54,VE
R_user_587,user,42,AR
A_user_588,user,73,WA
I_user_589,user,66,FL
K_user_590,user,60,MI
I_user_591,user,87,CO
X_user_592,user,12,SO
E_user_593,user,88,CA
B_user_594,user,31,NO
U_user_595,user,41,WY
G_user_596,user,85,KE
X_user_597,user,67,VE
R_user_598,user,41,MI
M_user_599,user,18,MA
K_user_600,user,81,NE
H_user_601,user,89,VE
R_user_602,user,53,NO
L_user_603,user,40,MI
T_user_604,user,28,MA
D_user_605,user,73,OK
V_user_606,user,17,MI
A_user_607,user,54,HA
R_user_608,user,42,RH
F_user_609,user,85,NE
H_user_610,user,80,HA
A_user_611,user,19,GE
F_user_612,user,61,WA
J_user_613,user,82,VE
I_user_614,user,49,MA
C_user_615,user,32,WE
H_user_616,user,99,LO
G_user_617,user,20,OK
H_user_618,user,25,CO
A_user_619,user,57,MI
L_user_620,user,91,FL
Z_user_621,user,32,TE
E_user_622,user,34,WE
O_user_623,user,31,OR
C_user_624,user,61,MI
M_user_625,user,82,MI
O_user_626,user,21,SO
F_user_627,user,76,GE
B_user_628,user,99,AL
K_user_629,user,37,NE
D_user_630,user,66,UT
E_user_631,user,93,NE
T_user_632,user,40,WE
M_user_633,user,17,NE
B_user_634,user,90,NE
M_user_635,user,78,WA
C_user_636,user,20,SO
H_user_637,user,54,AL
S_user_638,user,14,VI
C_user_639,user,78,LO
W_user_640,user,41,GE
V_user_641,user,16,PE
E_user_642,user,95,MA
J_user_643,user,34,MA
G_user_644,user,84,DE
M_user_645,user,68,MI
G_user_646,user,50,MA
J_user_647,user,95,NE
A_user_648,user,83,OK
X_user_649,user,23,HA
F_user_650,user,22,NO
L_user_651,user,66,WY
L_user_652,user,56,MI
S_user_653,user,31,PE
G_user_654,user,37,MI
A_user_655,user,73,MI
W_user_656,user,24,NE
I_user_657,user,81,MA
P_user_658,user,52,NE
N_user_659,user,67,NE
Y_user_660,user,99,OH
A_user_661,user,34,MA
X_user_662,user,72,WA
X_user_663,user,84,GE
E_user_664,user,80,NE
D_user_665,user,26,VI
Z_user_666,user,62,IL
U_user_667,user,91,KE
B_user_668,user,76,KA
K_user_669,user,90,NE
N_user_670,user,70,GE
Y_user_671,user,22,IL
K_user_672,user,63,SO
I_user_673,user,23,IO
U_user_674,user,53,DE
P_user_675,user,68,MA
T_user_676,user,84,CO
N_user_677,user,80,OK
J_user_678,user,76,FL
D_user_679,user,50,IL
X_user_680,user,59,KE
W_user_681,user,97,RH
E_user_682,user,17,CO
S_user_683,user,15,KE
K_user_684,user,68,PE
Z_user_685,user,43,NE
H_user_686,user,17,NE
C_user_687,user,50,GE
I_user_688,user,82,VI
A_user_689,user,43,AR
A_user_690,user,80,CO
G_user_691,user,51,SO
H_user_692,user,97,NE
E_user_693,user,47,FL
W_user_694,user,22,NE
U_user_695,user,94,MI
P_user_696,user,62,VE
G_user_697,user,96,IN
L_user_698,user,55,NE
R_user_699,user,19,NE
P_user_700,user,82,KE
Z_user_701,user,41,VE
O_user_702,user,38,KE
T_user_703,user,66,UT
T_user_704,user,18,NO
F_user_705,user,30,WA
N_user_706,user,22,SO
Z_user_707,user,44,VI
V_user_708,user,15,WA
A_user_709,user,89,CA
P_user_710,user,93,WA
X_user_711,user,37,VE
C_user_712,user,21,IO
R_user_713,user,55,RH
O_user_714,user,62,OR
L_user_715,user,93,CO
Y_user_716,user,50,FL
M_user_717,user,95,CO
H_user_718,user,75,NO
O_user_719,user,29,IO
R_user_720,user,37,DE
D_user_721,user,27,MA
Q_user_722,user,29,NE
Q_user_723,user,46,NE
O_user_724,user,56,RH
G_user_725,user,95,WI
L_user_726,user,73,PE
U_user_727,user,77,OH
I_user_728,user,60,MA
N_user_729,user,55,OH
N_user_730,user,63,MI
M_user_731,user,58,NE
R_user_732,user,72,CA
F_user_733,user,63,MI
N_user_734,user,65,SO
J_user_735,user,39,WI
K_user_736,user,69,MA
I_user_737,user,66,UT
Z_user_738,user,14,MA
J_user_739,user,54,NO
G_user_740,user,33,VI
L_user_741,user,68,AR
Z_user_742,user,49,MI
E_user_743,user,75,TE
D_user_744,user,15,OH
J_user_745,user,59,FL
A_user_746,user,49,MA
P_user_747,user,72,MO
P_user_748,user,95,UT
L_user_749,user,89,LO
D_user_750,user,31,TE
M_user_751,user,79,WI
Q_user_752,user,87,NE
D_user_753,user,69,RH
M_user_754,user,87,CO
A_user_755,user,89,UT
D_user_756,user,93,WY
I_user_757,user,80,CO
S_user_758,user,52,MI
J_user_759,user,61,SO
A_user_760,user,64,MA
R_user_761,user,92,NO
S_user_762,user,84,FL
Q_user_763,user,76,AR
A_user_764,user,90,MI
A_user_765,user,55,IO
R_user_766,user,84,NE
O_user_767,user,57,SO
O_user_768,user,29,KA
E_user_769,user,38,KE
I_user_770,user,40,WY
B_user_771,user,54,RH
C_user_772,user,39,HA
K_user_773,user,77,AR
G_user_774,user,43,WE
M_user_775,user,49,MI
M_user_776,user,35,TE
B_user_777,user,19,WY
K_user_778,user,70,NE
B_user_779,user,12,UT
X_user_780,user,94,CO
K_user_781,user,43,TE
O_user_782,user,32,MO
J_user_783,user,43,NE
H_user_784,user,99,HA
E_user_785,user,86,MO
G_user_786,user,26,OR
D_user_787,user,88,MO
O_user_788,user,76,NE
A_user_789,user,76,AR
K_user_790,user,36,DE
B_user_791,user,67,NE
F_user_792,user,12,NE
D_user_793,user,82,IO
K_user_794,user,64,MA
L_user_795,user,29,MA
M_user_796,user,14,IN
S_user_797,user,46,TE
X_user_798,user,82,NE
X_user_799,user,19,KE
R_user_800,user,20,MA
S_user_801,user,38,MI
P_user_802,user,42,KE
U_user_803,user,39,NE
C_user_804,user,93,VE
F_user_805,user,63,IN
O_user_806,user,71,VE
T_user_807,user,26,NE
R_user_808,user,55,SO
F_user_809,user,98,CO
C_user_810,user,97,GE
U_user_811,user,77,CA
D_user_812,user,20,DE
E_user_813,user,98,NE
P_user_814,user,58,MI
P_user_815,user,54,DE
Z_user_816,user,53,MI
X_user_817,user,41,CO
Z_user_818,user,41,MA
F_user_819,user,56,IO
R_user_820,user,88,MI
I_user_821,user,56,WI
I_user_822,user,12,LO
M_user_823,user,82,FL
Q_user_824,user,94,FL
Y_user_825,user,29,IL
V_user_826,user,88,NE
G_user_827,user,26,PE
A_user_828,user,46,MI
V_user_829,user,96,NE
S_user_830,user,55,NE
T_user_831,user,66,IN
H_user_832,user,48,IN
T_user_833,user,39,GE
G_user_834,user,95,NE
C_user_835,user,31,NE
K_user_836,user,31,LO
K_user_837,user,56,NE
Y_user_838,user,49,NE
C_user_839,user,66,MI
X_user_840,user,46,KE
E_user_841,user,53,NE
K_user_842,user,86,AL
W_user_843,user,96,DE
V_user_844,user,93,MA
N_user_845,user,97,NO
K_user_846,user,57,LO
W_user_847,user,60,ID
H_user_848,user,89,MO
C_user_849,user,50,IL
C_user_850,user,50,GE
H_user_851,user,27,VE
T_user_852,user,70,OR
T_user_853,user,80,WY
J_user_854,user,96,WI
D_user_855,user,63,CO
K_user_856,user,89,NE
D_user_857,user,26,NE
M_user_858,user,88,MO
X_user_859,user,93,IN
A_user_860,user,23,KA
I_user_861,user,96,FL
F_user_862,user,88,AR
W_user_863,user,33,NE
C_user_864,user,67,AL
O_user_865,user,91,AL
L_user_866,user,34,AR
A_user_867,user,25,NE
U_user_868,user,40,CO
Z_user_869,user,66,IO
L_user_870,user,47,CO
O_user_871,user,95,SO
O_user_872,user,12,VE
A_user_873,user,46,CO
E_user_874,user,32,MO
P_user_875,user,71,TE
F_user_876,user,29,IL
G_user_877,user,22,IL
D_user_878,user,58,AL
U_user_879,user,88,MI
X_user_880,user,75,LO
C_user_881,user,21,TE
A_user_882,user,39,UT
S_user_883,user,47,RH
G_user_884,user,17,GE
Q_user_885,user,79,CO
B_user_886,user,77,CO
D_user_887,user,78,IO
Z_user_888,user,50,PE
Y_user_889,user,28,OH
B_user_890,user,29,TE
W_user_891,user,83,LO
E_user_892,user,76,AL
H_user_893,user,60,NE
A_user_894,user,24,AR
A_user_895,user,37,HA
R_user_896,user,43,AR
D_user_897,user,89,AR
J_user_898,user,16,SO
F_user_899,user,97,NE
O_user_900,user,21,MI
O_user_901,user,66,IL
E_user_902,user,90,CO
H_user_903,user,50,MI
T_user_904,user,45,MI
T_user_905,user,67,IN
L_user_906,user,53,KA
M_user_907,user,95,IO
D_user_908,user,87,UT
R_user_909,user,51,HA
R_user_910,user,57,RH
T_user_911,user,62,PE
G_user_912,user,64,OH
K_user_913,user,39,MI
H_user_914,user,29,NO
O_user_915,user,94,OK
W_user_916,user,14,IN
N_user_917,user,35,MA
X_user_918,user,70,SO
U_user_919,user,42,OH
E_user_920,user,43,LO
N_user_921,user,23,OK
W_user_922,user,72,SO
S_user_923,user,96,TE
A_user_924,user,42,KE
X_user_925,user,38,HA
E_user_926,user,60,TE
I_user_927,user,73,RH
X_user_928,user,51,KA
Z_user_929,user,90,ID
C_user_930,user,70,LO
J_user_931,user,67,IN
C_user_932,user,49,MA
M_user_933,user,28,MI
V_user_934,user,64,RH
B_user_935,user,82,MO
X_user_936,user,38,KA
U_user_937,user,56,WY
O_user_938,user,15,KE
O_user_939,user,93,MA
F_user_940,user,16,MA
P_user_941,user,21,DE
S_user_942,user,25,VI
N_user_943,user,67,CO
N_user_944,user,66,MA
T_user_945,user,27,KA
Z_user_946,user,65,PE
V_user_947,user,86,NE
V_user_948,user,33,WY
V_user_949,user,22,UT
I_user_950,user,39,FL
A_user_951,user,16,AR
K_user_952,user,58,TE
N_user_953,user,39,VE
H_user_954,user,56,IO
W_user_955,user,65,OR
O_user_956,user,92,AL
Y_user_957,user,99,WI
I_user_958,user,63,AR
B_user_959,user,58,NO
Q_user_960,user,15,OK
G_user_961,user,12,WA
A_user_962,user,38,OK
P_user_963,user,27,VE
I_user_964,user,58,VI
B_user_965,user,19,OR
P_user_966,user,84,NE
Q_user_967,user,33,SO
U_user_968,user,97,IN
C_user_969,user,55,MI
P_user_970,user,75,CO
F_user_971,user,91,SO
Y_user_972,user,19,AL
U_user_973,user,24,CO
W_user_974,user,38,NE
L_user_975,user,83,CO
Z_user_976,user,87,UT
M_user_977,user,61,OR
C_user_978,user,77,VI
A_user_979,user,73,NE
J_user_980,user,54,SO
X_user_981,user,21,LO
U_user_982,user,29,DE
G_user_983,user,35,IO
O_user_984,user,33,AR
R_user_985,user,89,WI
P_user_986,user,40,UT
B_user_987,user,24,PE
Z_user_988,user,72,WI
N_user_989,user,79,CO
C_user_990,user,45,CA
T_user_991,user,19,MA
W_user_992,user,84,CO
L_user_993,user,73,NE
E_user_994,user,37,SO
Q_user_995,user,45,AR
A_user_996,user,57,AL
I_user_997,user,52,WA
P_user_998,user,83,RH
D_user_999,user,83,PE
Z_user_1000,user,52,MA
G_user_1001,user,62,NE
C_user_1002,user,38,MI
R_user_1003,user,62,DE
O_user_1004,user,93,MI
V_user_1005,user,64,NE
N_user_1006,user,93,UT
R_user_1007,user,41,OH
R_user_1008,user,74,AL
M_user_1009,user,58,AR
H_user_1010,user,78,VE
Q_user_1011,user,69,AL
T_user_1012,user,56,NE
D_user_1013,user,92,AL
E_user_1014,user,52,HA
F_user_1015,user,87,SO
X_user_1016,user,22,NE
Q_user_1017,user,88,MI
D_user_1018,user,92,AL
F_user_1019,user,83,NO
J_user_1020,user,96,VE
A_user_1021,user,53,MA
I_user_1022,user,83,AL
W_user_1023,user,41,UT
C_user_1024,user,28,IO
L_user_1025,user,56,MA
A_user_1026,user,15,MA
G_user_1027,user,61,MA
A_user_1028,user,69,IO
B_user_1029,user,28,MA
B_user_1030,user,56,VI
X_user_1031,user,37,IO
S_user_1032,user,90,UT
F_user_1033,user,32,NO
P_user_1034,user,82,OR
E_user_1035,user,27,AR
N_user_1036,user,74,AR
N_user_1037,user,16,KE
U_user_1038,user,73,KA
J_user_1039,user,98,KE
E_user_1040,user,63,WI
L_user_1041,user,61,WA
H_user_1042,user,32,VI
L_user_1043,user,12,HA
H_user_1044,user,76,AL
G_user_1045,user,22,MI
Z_user_1046,user,15,CO
D_user_1047,user,65,MA
K_user_1048,user,76,CA
A_user_1049,user,48,TE
K_user_1050,user,71,IL
Q_user_1051,user,12,NE
A_user_1052,user,56,MA
R_user_1053,user,34,AR
V_user_1054,user,13,CO
L_user_1055,user,16,MI
C_user_1056,user,45,MA
L_user_1057,user,18,AR
A_user_1058,user,48,IN
P_user_1059,user,63,NE
D_user_1060,user,32,NE
P_user_1061,user,28,VI
